"symbol" "WT.mean" "WT.sd" "logFC.group" "logFC.30" "logFC.60" "logFC.120" "p.30" "p.60" "p.120" "q.30" "q.60" "q.120" "R2.group" "R2.E" "R2.M" "R2.L"
"AT1G01580" "FRO2" 3.10149526666667 4.03786693777319 "L" 0.307421 0.365625 -0.707443 0.28275 0.1565 0.0115 0.885481 0.770536 0.240158 "L" 0.10332066796914 0.183881873719828 0.214772090314442
"AT1G01600" "CYP86A4" 3.35592020833333 0.691777412595296 "E" 0.409263 0.0094416 -0.0287889 0.12225 0.96965 0.9061 0.712812 0.998621 0.998621 "E" 0.319293960083725 0.114212547972931 0.0629065146840931
"AT1G01610" "GPAT4" 22.2341129166667 4.19147635901872 "M" -0.0480577 -0.456612 -0.29446 0.84235 0.03175 0.1687 0.998621 0.41607 0.785217 "M" 0.268300461295221 0.40462033870181 0.3326656868186
"AT1G01620" "PIP1-3" 386.230558333333 107.504971271213 "M" 0.300398 0.73151 0.199507 0.4481 0.04485 0.58385 0.956668 0.490137 0.982121 "M" 0.154098773991203 0.322355579040938 0.132921320659788
"AT1G01630" "AT1G01630" 46.1852375 11.576454010178 "E" -0.171608 0.0930277 -0.168234 0.5045 0.6914 0.46395 0.969155 0.993686 0.960417 "L" 0.0419959202006499 0.0371717997207234 0.0724923621314989
"AT1G01640" "AT1G01640" 4.98539275 1.30382773926991 "E" -0.414322 -0.158226 -0.180404 0.17475 0.5522 0.49815 0.793252 0.977438 0.968125 "E" 0.19668735514264 0.0815642100788093 0.156913793593745
"AT1G01650" "SPPL4" 11.6800092083333 4.77156109019416 "M" -0.17865 -0.296406 -0.288577 0.4367 0.1636 0.16305 0.953488 0.779014 0.778849 "L" 0.259431473194816 0.255576164919995 0.267034491295254
"AT1G01660" "PUB55" 0.584204291666667 0.18783420977517 "E" -0.497832 -0.388884 -0.477312 1 1 1 1 1 1 "E" 0.174767775234126 0.119066496312056 0.174137579506171
"AT1G01670" "PUB56" 0.264909165 0.15927581283662 "M" -1.07899 -1.29943 -1.01367 1 1 1 1 1 1 "E" 0.424940078821399 0.367969336174176 0.423638248809101
"AT1G01680" "PUB54" 0.28346091 0.163868075534174 "L" -0.0292272 -0.109502 -0.350974 1 1 1 1 1 1 "L" 0.00885603101733301 0.00954300300086186 0.09076925385435
"AT1G01690" "ATPRD3" 1.55973666666667 0.295532784165445 "E" 0.653528 0.240568 0.299673 0.06545 0.453 0.3459 0.572601 0.958204 0.919579 "E" 0.262836485692017 0.120617022043301 0.152212335006054
"AT1G01700" "ROPGEF2" 0.663614625 0.258771411276838 "M" -0.453497 -0.580903 -0.29346 1 1 1 1 1 1 "E" 0.107128061881049 0.0835915776702806 0.0980593265158846
"AT1G01710" "AT1G01710" 4.03260758333333 0.585869187933985 "L" -0.0712039 -0.093453 -0.121648 0.76355 0.6603 0.5666 0.998621 0.990609 0.979362 "E" 0.461312637530556 0.403745342159669 0.432300735661063
"AT1G01725" "AT1G01725" 21.4596659583333 10.0728348950863 "M" 0.196413 0.204261 -0.0125253 0.709 0.74605 0.9841 0.995646 0.998445 0.998621 "M" 0.0547764565615954 0.078453915309125 0.0167472137281922
"AT1G01730" "AT1G01730" 29.42715125 5.39785021181526 "E" 0.0462762 0.0108987 0.0417575 0.84065 0.9575 0.8375 0.998621 0.998621 0.998621 "L" 0.00312820837942041 0.00226146142437633 0.00521678542140858
"AT1G01740" "AT1G01740" 1.26970219166667 0.334653589537193 "L" -0.358188 -0.423342 -0.617718 0.30905 0.18545 0.0623 0.901114 0.804652 0.562505 "E" 0.296905864557868 0.264194037911593 0.285032065575258
"AT1G01750" "ADF10" 5.42660220833333 2.57558244917114 "L" -0.102167 -0.387896 -0.3932 0.75 0.1819 0.18945 0.998445 0.801186 0.808709 "M" 0.0218220649400354 0.257856309216719 0.246964267311669
"AT1G01760" "AT1G01760" 1.08242730833333 0.374689720970461 "L" 0.0032662 0.115448 0.17254 1 1 1 1 1 1 "L" 0.0035597168361079 0.00034550350073459 0.00941894596346149
"AT1G01780" "PLIM2B" 4.420569625 0.800595244517794 "M" 0.195458 -0.509732 -0.289194 0.63975 0.1281 0.4159 0.987858 0.724415 0.947744 "E" 0.290174415459937 0.17327535606796 0.145020272291677
"AT1G01790" "KEA1" 4.30236429166667 1.63699749632951 "E" 0.67429 0.237306 0.45858 0.00505 0.27175 0.036 0.147001 0.876408 0.441153 "E" 0.28493510826138 0.0779218753993416 0.282112592934741
"AT1G01800" "AT1G01800" 38.1533170833333 6.4879422721025 "M" 0.121234 0.229125 0.0825295 0.6114 0.29195 0.70205 0.985857 0.892447 0.994708 "M" 0.167984860046472 0.305711856843925 0.139116717784895
"AT1G01810" "AT1G01810" 3.01147866666667 1.49164276061341 "M" 0.00732317 0.393515 0.30907 0.98845 0.21705 0.3373 0.998621 0.835504 0.916059 "M" 0.0497312416275363 0.155708170608656 0.120071530289727
"AT1G01820" "PEX11C" 16.2388820833333 4.30308455978204 "E" -0.290234 0.0880642 0.0134717 0.20645 0.6699 0.94515 0.825631 0.991795 0.998621 "E" 0.277160147308562 0.0330524569466534 0.00589110390883374
"AT1G01830" "AT1G01830" 4.40774958333333 0.726039480341412 "M" -0.120923 0.363047 0.224104 0.62495 0.0953 0.3041 0.986518 0.656045 0.899019 "M" 0.224987077138888 0.335316636745754 0.217778248020978
"AT1G01840" "AT1G01840" 1.7494752375 0.667053974215018 "L" -0.314228 0.390333 -0.448127 0.59445 0.38575 0.3734 0.983782 0.937013 0.932469 "L" 0.0642702817365337 0.21613856724353 0.219745737076569
"AT1G01860" "PFC1" 2.58853054166667 0.504378545449312 "E" 0.484304 0.186342 0.394912 0.1443 0.5512 0.18065 0.751201 0.977408 0.800251 "L" 0.193303310222171 0.132021353621371 0.304561628532817
"AT1G01880" "GEN1" 0.495631758333333 0.13909911900754 "L" 0.000998042 -0.12351 0.361645 1 1 1 1 1 1 "L" 0.0278126250005701 0.0701339864289624 0.14226123514123
"AT1G01900" "SBTI1.1" 2.46485266666667 0.618274811452393 "L" 0.241316 0.355592 0.571984 0.75425 0.62165 0.39575 0.998621 0.986434 0.940935 "L" 0.0197401677298216 0.587283558939415 0.593849877406057
"AT1G01910" "AT1G01910" 32.8281116666667 7.1322007164096 "M" -0.105337 0.105931 0.0457619 0.6736 0.64275 0.83955 0.9924 0.988401 0.998621 "E" 0.1036334075359 0.0470026529962098 0.0206589010040801
"AT1G01920" "AT1G01920" 6.29819491666667 0.900319005653572 "M" -0.195257 -0.351821 0.0500213 0.42065 0.1112 0.8164 0.949799 0.69273 0.998621 "M" 0.502516804914003 0.824866534143206 0.198250362898599
"AT1G01930" "AT1G01930" 4.436647 0.957243387746974 "L" -0.0252426 -0.0142089 -0.265929 0.92165 0.9526 0.2628 0.998621 0.998621 0.870307 "L" 0.0366181791008146 0.099530263810746 0.406782844793122
"AT1G01940" "CYP18-1" 37.4654483333333 9.91293087596664 "E" -0.0425585 -0.0216252 -0.000915474 0.85045 0.9106 0.9971 0.998621 0.998621 0.99876 "E" 0.0230493105607832 0.00667809106161765 0.0115604531219968
"AT1G01950" "ARK2" 4.07288183333333 1.24283508711846 "E" 0.266882 0.0210825 -0.016804 0.6096 0.9697 0.9725 0.98575 0.998621 0.998621 "E" 0.350711367991521 0.152408263938166 0.0863847663313104
"AT1G01960" "BIG3" 3.06961354166667 1.10062684826484 "E" 0.213525 -0.0835653 -0.172512 0.4681 0.7872 0.5261 0.961534 0.998621 0.973398 "E" 0.0467857156693664 0.01485847550619 0.0350336361644124
"AT1G01970" "AT1G01970" 8.33567633333333 1.43335321086661 "L" -0.0445944 0.184247 0.216522 0.8518 0.3939 0.3127 0.998621 0.940286 0.903141 "M" 0.0514595891587223 0.0916227998912524 0.0811221091448641
"AT1G01990" "AT1G01990" 24.9842658333333 5.75096168930404 "M" 0.183443 0.201032 0.0313979 0.42745 0.3363 0.8749 0.951316 0.915749 0.998621 "M" 0.175780387345738 0.24368212657993 0.0803171587844285
"AT1G02000" "GAE2" 5.15092391666667 2.92238258973522 "E" -0.588979 -0.0731269 0.1349 0.03445 0.75895 0.56615 0.432588 0.998621 0.979362 "E" 0.12715174796634 0.0659592130343369 0.0435434792306586
"AT1G02010" "SEC1A" 1.12910324583333 0.237867329424763 "L" -0.126307 0.0311617 0.129622 0.71825 0.9216 0.67415 0.996625 0.998621 0.992525 "E" 0.0618204330129106 0.0218503497569881 0.0418915045405437
"AT1G02020" "AT1G02020" 6.31246791666667 1.96023317398325 "M" 0.0555274 -0.140517 -0.105073 0.8147 0.5098 0.62655 0.998621 0.970607 0.986531 "M" 0.109432946861502 0.196171370542884 0.171680055869503
"AT1G02050" "PKSA" 1.4009249 0.582181433701246 "L" 0.43801 -0.13111 0.476204 0.2258 0.7001 0.14465 0.842951 0.99455 0.751836 "L" 0.0781868179234203 0.0410508539564099 0.163980411396273
"AT1G02060" "AT1G02060" 1.2611868875 0.697100547802128 "M" 0.154135 -0.289611 0.159391 0.66915 0.38715 0.614 0.991795 0.937509 0.985984 "M" 0.0326070931727588 0.0805935487362223 0.00094855692511342
"AT1G02065" "SPL8" 0.927008658333333 0.280972663738258 "L" 0.140609 -0.503086 -1.12833 0.71885 0.1812 0.0101 0.996625 0.800464 0.222677 "L" 0.169005034762453 0.0379165357310547 0.450323266233138
"AT1G02070" "AT1G02070" 0.397195710416667 0.262861393304211 "E" 1.83023 1.26449 1.5173 1 1 1 1 1 1 "E" 0.26235540008229 0.123930532975778 0.252737692727725
"AT1G02074" "AT1G02074" 0.714172375 1.95919278547884 "L" 0 0 Inf 1 1 1 1 1 1 "L" 0.0458489309850596 0.0833316761875227 0.266666034747389
"AT1G02080" "AT1G02080" 1.53479372083333 0.635402283637007 "M" 0.133413 -0.197875 0.0943054 0.574 0.39635 0.666 0.980055 0.940935 0.99172 "M" 0.0115376134410049 0.0146904278345628 0.000668054428852871
"AT1G02090" "CSN7" 29.5120158333333 5.71900157544845 "L" -0.030843 0.0988569 0.127473 0.89915 0.64 0.54995 0.998621 0.98788 0.977324 "M" 0.0923719396710582 0.134250449135368 0.116955953203644
"AT1G02110" "AT1G02110" 10.662889 2.23564469355986 "M" 0.0459529 0.133362 -0.0213988 0.85605 0.59185 0.9271 0.998621 0.983559 0.998621 "E" 0.57837876895628 0.237500542397142 0.213562778820107
"AT1G02120" "VAD1" 16.4591191666667 2.71039895450181 "M" 0.0177939 0.108862 -0.038093 0.94005 0.608 0.8583 0.998621 0.985669 0.998621 "M" 0.0248623099160744 0.110670199420307 0.00350928396822825
"AT1G02130" "RABD2A" 31.8608079166667 8.3956922044442 "L" -0.0600211 0.0941564 0.145121 0.7953 0.6537 0.4846 0.998621 0.98929 0.964916 "M" 0.144045301303643 0.170319956386936 0.156077735493404
"AT1G02140" "MEE63" 361.436808333333 226.638259909874 "M" 0.147156 0.631253 0.330668 0.7043 0.082 0.36355 0.995031 0.621562 0.927253 "M" 0.120343930141641 0.244056351005656 0.148922527804034
"AT1G02150" "AT1G02150" 56.77669 12.1191550910133 "M" -0.0110512 0.136813 0.059823 0.9642 0.5653 0.79875 0.998621 0.979362 0.998621 "M" 0.0851733883537064 0.153720335950301 0.0796710269318214
"AT1G02160" "AT1G02160" 45.796285 21.5185286066082 "M" 0.420129 0.488399 0.271446 0.0768 0.0231 0.20155 0.608255 0.354121 0.821031 "M" 0.273854094262297 0.298028324705952 0.228572702706078
"AT1G02170" "AMC1" 20.7741404166667 5.77637904285275 "E" -0.440594 0.0670637 0.0339923 0.12055 0.7923 0.8903 0.709569 0.998621 0.998621 "E" 0.174227819667342 0.0201351326626877 0.00417375209944004
"AT1G02180" "AT1G02180" 9.18925183333333 2.83835304122987 "E" 0.459741 0.3343 0.0470763 0.46935 0.6414 0.94545 0.961743 0.987924 0.998621 "M" 0.301745136052128 0.310045775185795 0.107121786872135
"AT1G02205" "CER1" 12.496702625 4.33249213611217 "L" -0.150318 0.151765 -0.332709 0.51545 0.46365 0.11845 0.971771 0.960289 0.706769 "L" 0.00325845503178912 0.0837871831114833 0.152753335186566
"AT1G02220" "NAC003" 2.8896335 0.810253524359318 "L" -0.18763 1.05141 1.41651 0.48965 5e-05 5e-05 0.966392 0.00512634 0.00512634 "M" 0.249485909753358 0.763890622077849 0.735882092168801
"AT1G02230" "NAC004" 0.08055064875 0.0974017713464565 "L" 0.0761403 0.35185 0.43543 1 1 1 1 1 1 "M" 0.0117322700830207 0.0595049181547251 0.0565114258295211
"AT1G02260" "AT1G02260" 2.63358854166667 0.496147058398492 "E" -0.42853 0.0373498 0.0241905 0.12435 0.87875 0.92075 0.716924 0.998621 0.998621 "E" 0.315203095544826 0.0523897521041594 0.0255533356378137
"AT1G02270" "AT1G02270" 6.28942145833333 1.0819647628874 "E" -0.201421 0.0885716 -0.133841 0.42195 0.6871 0.54495 0.949799 0.993611 0.976352 "E" 0.166708871514849 0.0713727221649687 0.0106484074227665
"AT1G02280" "TOC33" 44.5503866666667 12.164417023828 "E" 0.454524 0.35955 0.310686 0.06425 0.10685 0.16285 0.569383 0.682717 0.77851 "E" 0.323550349413941 0.217647200443748 0.286073121718247
"AT1G02290" "AT1G02290" 3.20298754166667 0.438178587958795 "M" -0.265183 -0.471827 -0.117866 0.3537 0.0743 0.64145 0.922346 0.60021 0.987924 "M" 0.336042904125227 0.442190023895305 0.268298645068898
"AT1G02300" "AT1G02300" 4.31812583333333 1.06008034119912 "M" -0.210179 1.58468 1.34973 0.4532 5e-05 5e-05 0.958204 0.00512634 0.00512634 "M" 0.334881352897723 0.549775040386746 0.442562199238509
"AT1G02305" "AT1G02305" 37.7697216666667 8.97894683550924 "E" -0.313548 0.178657 -0.13603 0.1883 0.4087 0.5301 0.80758 0.945268 0.97403 "E" 0.199636386486392 0.081220749747941 2.2592944621258e-05
"AT1G02310" "MAN1" 0.22821492875 0.112956350215614 "E" -1.46745 -0.957666 -0.142025 1 1 1 1 1 1 "E" 0.428373741222706 0.411942344208089 0.196705176314385
"AT1G02330" "AT1G02330" 18.42535625 4.86494595144454 "E" 0.306008 0.117672 0.247498 0.1869 0.57225 0.23955 0.806057 0.979968 0.854349 "E" 0.15259164916535 0.0641581206791934 0.150814784808015
"AT1G02335" "GL22" 13.647339875 6.10109364780614 "M" 0.0980499 0.881457 0.776929 0.71935 5e-04 0.0015 0.996625 0.0302842 0.0657419 "M" 0.111392149519462 0.165883868434929 0.139733574530393
"AT1G02340" "HFR1" 1.805099975 0.786195829714061 "L" 0.21066 -0.477603 -0.547766 0.6196 0.24425 0.18985 0.98627 0.858834 0.809287 "M" 0.111476092395577 0.159767591251319 0.146244684100701
"AT1G02350" "AT1G02350" 1.60759428333333 1.06459081299992 "L" -0.439858 -0.471109 1.20392 1 1 0.0573 1 1 0.54557 "L" 0.1608634097011 0.274858498864942 0.551005106948403
"AT1G02360" "AT1G02360" 6.05952458333333 2.2509547484007 "M" -0.29184 0.533658 0.454741 0.3073 0.03065 0.0664 0.900404 0.408796 0.575543 "M" 0.15096597321961 0.193277416306899 0.155131998523647
"AT1G02370" "AT1G02370" 4.28005204166667 0.618424292808008 "L" -0.169233 0.0319876 0.212182 0.5502 0.90035 0.3869 0.977324 0.998621 0.937509 "L" 0.193248300409101 0.0995586221761099 0.210798264204526
"AT1G02380" "AT1G02380" 1.47368580833333 0.36783172035061 "L" -0.182399 -0.59842 -0.733935 0.68265 0.16265 0.09735 0.993376 0.77834 0.660502 "M" 0.0172605920096506 0.222427369938579 0.21746838216808
"AT1G02390" "GPAT2" 0.201643802083333 0.0888124474278049 "M" -0.508112 -1.25802 0.543422 1 1 1 1 1 1 "M" 0.225881689702594 0.472119092468785 0.408121498112572
"AT1G02400" "GA2OX6" 1.55880080833333 0.531273624446846 "M" -0.181342 -0.597736 -0.511136 0.6159 0.0763 0.12055 0.986127 0.606591 0.709569 "M" 0.0152278188470822 0.275902097042243 0.256576817225658
"AT1G02405" "AT1G02405" 1.7056498875 1.19652702298547 "L" -0.281339 0.257524 -0.530059 0.65865 0.624 0.38245 0.990264 0.986434 0.935473 "L" 0.0204605052283655 0.0956367526684598 0.153479395162586
