"symbol" "WT.mean" "WT.sd" "logFC.group" "logFC.30" "logFC.60" "logFC.120" "p.30" "p.60" "p.120" "q.30" "q.60" "q.120" "R2.group" "R2.E" "R2.M" "R2.L"
"AT3G23510" "AT3G23510" 3.9545525 1.6759198711949 "L" -0.416566 -0.53789 -0.99361 0.0742 0.01255 5e-05 0.600071 0.252301 0.00512634 "E" 0.674523570822483 0.631361782118331 0.654008381137465
"AT3G23530" "AT3G23530" 7.26506904166667 1.44685228545874 "L" 0.308556 0.0870135 0.339418 0.1863 0.6804 0.1024 0.805569 0.993117 0.673021 "L" 0.0542003587307529 0.000341775413770118 0.10492085603312
"AT3G23540" "AT3G23540" 3.34808470833333 0.440430440915276 "M" -0.145445 -0.245631 0.0113728 0.58965 0.3088 0.96015 0.983559 0.90111 0.998621 "M" 0.178773188009689 0.261269066542401 0.0869051366251167
"AT3G23550" "LAL5" 3.38675533333333 2.07661704427002 "L" -0.0959064 -0.199757 -0.706774 0.67785 0.34555 9e-04 0.992759 0.91939 0.045749 "L" 0.0329659230307957 0.0379310906945298 0.427931204685968
"AT3G23560" "ALF5" 1.78670383333333 0.346577476481173 "E" -0.472925 -0.410736 -0.0734416 0.15525 0.16395 0.79875 0.768591 0.779112 0.998621 "E" 0.224496858758853 0.220557053189025 0.120680530964501
"AT3G23570" "AT3G23570" 22.8745804166667 5.4596909438447 "E" -0.209943 0.0705592 -0.190535 0.3833 0.74575 0.37655 0.935806 0.998445 0.933319 "L" 0.0582888964701123 0.0293272735238213 0.0815836359507371
"AT3G23580" "RNR2A" 8.83416045833333 1.9256140442599 "L" -0.0693947 -0.047842 0.118531 0.76635 0.8213 0.57125 0.998621 0.998621 0.979882 "M" 0.213323840716347 0.240443507821878 0.0317571820037595
"AT3G23590" "MED33A" 1.9199011375 0.672628506869684 "E" 0.465267 0.132424 0.0315946 0.0587 0.55485 0.88425 0.550469 0.978285 0.998621 "E" 0.293249980739063 0.168240788303784 0.054564147526706
"AT3G23600" "AT3G23600" 130.536724583333 37.0184774803016 "E" -0.209699 0.200742 0.0396994 0.4875 0.49735 0.8855 0.965424 0.967746 0.998621 "M" 0.00364618864439437 0.0379154914274432 0.0132664057495943
"AT3G23605" "PUX12" 2.391996125 0.891407167062296 "M" -0.0534407 0.47726 0.438981 0.877 0.10325 0.13505 0.998621 0.675059 0.735831 "M" 0.212267508522318 0.50726757999813 0.425277103665198
"AT3G23610" "DSPTP1" 2.51283529583333 1.06774502503548 "E" 0.404241 0.00248219 0.008531 0.27175 0.9929 0.97815 0.876408 0.998621 0.998621 "E" 0.194729834553614 0.0552440432340443 0.0243588046477419
"AT3G23620" "AT3G23620" 17.77375125 2.67924901911015 "L" 0.0395761 0.0706462 0.153397 0.86165 0.7336 0.453 0.998621 0.998184 0.958204 "M" 0.00906192917799764 0.0725844276907136 0.0719913523993932
"AT3G23630" "IPT7" 0.708573408333333 0.219883058336327 "M" -0.574628 -1.0223 -0.427821 1 1 1 1 1 1 "M" 0.287742307645016 0.33828199544994 0.270273143311954
"AT3G23635" "RTFL13" 5.97529666666667 10.4090762637265 "L" -0.178331 0.104451 -0.971077 1 1 1 1 1 1 "L" 0.00232114990556664 0.0123074922825688 0.0323947032373011
"AT3G23640" "HGL1" 5.30163591666667 1.54332528691169 "E" -0.205266 -0.130809 -0.104228 0.3742 0.52725 0.61385 0.932786 0.973398 0.985983 "E" 0.19654318786728 0.073301373436683 0.172458030649027
"AT3G23660" "AT3G23660" 6.80268004166667 1.31003080521591 "M" -0.00451255 -0.081723 -0.00605106 0.98475 0.6941 0.977 0.998621 0.993753 0.998621 "M" 0.060386060011707 0.109536582684859 0.066706222023991
"AT3G23670" "KIN12B" 0.882036333333333 0.277719705871036 "E" 0.842808 0.0736128 0.0908214 0.0062 0.80715 0.75 0.166365 0.998621 0.998445 "E" 0.275469098861432 0.0849580970489034 0.0347776154989716
"AT3G23690" "BHLH77" 9.396145 1.52820729815795 "E" -0.209173 0.0723151 -0.0504488 0.35865 0.7248 0.80625 0.924838 0.997235 0.998621 "E" 0.122099248053538 0.0138948736851268 0.0097536750782331
"AT3G23700" "AT3G23700" 37.857815 4.7788525537577 "E" 0.396984 0.262072 0.170912 0.1057 0.2244 0.4271 0.680082 0.842437 0.951227 "E" 0.374836599677064 0.289841228082822 0.237944914195537
"AT3G23710" "TIC22L" 5.54953229166667 1.14468136815126 "M" -0.105108 0.1084 -0.0653486 0.698 0.6564 0.79015 0.994279 0.989973 0.998621 "M" 0.0384645859620324 0.0409766865763737 1.89496709168679e-06
"AT3G23730" "XTH16" 53.4634058333333 10.7554365813553 "M" -0.0170238 0.278731 0.275561 0.9502 0.21925 0.23285 0.998621 0.837526 0.849191 "M" 0.0680301408702491 0.100921868456553 0.0862087758428232
"AT3G23740" "AT3G23740" 2.80204966666667 0.452325106310155 "L" 0.22425 0.215336 0.486962 0.42115 0.39075 0.04595 0.949799 0.938761 0.494704 "L" 0.00383291979675981 0.0055009238487278 0.530982407928986
"AT3G23750" "AT3G23750" 5.81761045833333 1.45726614535393 "M" 0.328083 0.33244 0.273206 0.15195 0.1124 0.18345 0.762843 0.694636 0.802311 "E" 0.246106579343147 0.217422349191528 0.233452642957909
"AT3G23760" "AT3G23760" 26.337145 8.45992465135939 "E" 0.829755 0.54586 0.369899 0.00125 0.01805 0.11105 0.0577639 0.30858 0.69243 "E" 0.506316934451731 0.367818063658947 0.318058356042397
"AT3G23780" "NRPD2" 1.7334902625 0.488828130391531 "E" 0.31909 -0.114449 -0.0124613 0.19735 0.6275 0.957 0.816675 0.98656 0.998621 "E" 0.218246546787869 0.0201225829568555 0.0202390687245964
"AT3G23790" "AAE16" 0.942529104166667 0.281378308962344 "E" -0.474303 -0.463008 -0.212281 0.13855 0.1031 0.444 0.741969 0.674809 0.955616 "E" 0.144363888349178 0.117669117153063 0.116456913663937
"AT3G23800" "SBP3" 11.163310875 2.77980293160702 "E" -0.312885 -0.066488 -0.106176 0.1901 0.7494 0.611 0.809365 0.998445 0.985857 "E" 0.136306974548636 0.034809097170452 0.0703050439430692
"AT3G23805" "RALFL24" 41.8742891666667 18.271809341324 "E" 0.569509 0.390719 0.216394 0.02065 0.08165 0.33575 0.333184 0.620422 0.91555 "E" 0.32958429218206 0.269190153985655 0.190336088000446
"AT3G23810" "SAHH2" 229.231470833333 63.2759598236203 "M" -0.0831267 0.582893 0.359739 0.82175 0.11955 0.3223 0.998621 0.708385 0.908317 "M" 0.0673796088915705 0.149783894009538 0.0998031659783256
"AT3G23820" "GAE6" 139.3429 26.326953401162 "M" 0.0137164 0.550975 0.0754343 0.96815 0.09585 0.8166 0.998621 0.657046 0.998621 "M" 0.0615119222290681 0.230358741325625 0.0683594017802709
"AT3G23830" "RBG4" 53.72300625 15.817780399635 "L" 0.0882018 0.00265835 0.111686 0.7088 0.9899 0.59645 0.995646 0.998621 0.984006 "L" 0.0146269212131576 0.00356354651669633 0.0566525553898514
"AT3G23840" "CER26L" 4.01235179166667 1.23982552431685 "E" 0.297757 0.14354 0.185349 0.3131 0.59295 0.4879 0.903239 0.98356 0.965689 "E" 0.103574032980062 0.0486960257517911 0.0864545426141593
"AT3G23860" "AT3G23860" 0.32770893 0.283282996828505 "E" -Inf 1.58293 2.32745 1 1 1 1 1 1 "L" 0.103223864290557 0.0249920975428916 0.228558516889733
"AT3G23870" "AT3G23870" 0.22399783 0.120762871173615 "L" 0.184539 -0.017717 0.332257 1 1 1 1 1 1 "L" 1.59879562977583e-06 0.0040687210710586 0.018530595731222
"AT3G23880" "AT3G23880" 3.72788225 1.2611120740527 "L" 0.240028 0.455084 -0.595922 0.49585 0.147 0.09145 0.967371 0.75526 0.646311 "M" 0.199990028974824 0.457481448369448 0.453637706880726
"AT3G23890" "TOP2" 1.8393355625 0.749309710425961 "E" 0.456197 -0.0515454 -0.180783 0.07325 0.83205 0.43825 0.596959 0.998621 0.95392 "E" 0.105080278049823 0.0371067087182236 0.0404507579820378
"AT3G23900" "AT3G23900" 3.23159483333333 0.755345996184511 "M" 0.0553254 -0.143568 -0.0164885 0.81155 0.5069 0.94025 0.998621 0.969667 0.998621 "M" 0.0662458881865573 0.119373460073821 0.0520834882400688
"AT3G23910" "AT3G23910" 2.51307079166667 0.602757432584544 "M" 0.0408886 0.336642 0.299778 0.90845 0.2765 0.3335 0.998621 0.880043 0.914089 "L" 0.0960256175207223 0.0985311061465876 0.100205437003406
"AT3G23920" "BAM1" 27.1827183333333 10.0363269023932 "L" -0.641621 -0.446612 -0.730606 0.0114 0.05055 0.00135 0.238757 0.516084 0.0608849 "E" 0.406899581329846 0.290129290107282 0.391016396129568
"AT3G23930" "AT3G23930" 4.1032475 1.47243322747656 "M" -0.153739 -1.33596 -0.960197 0.6325 4e-04 0.0033 0.987032 0.0258387 0.112145 "M" 0.0923051765550734 0.592213134249633 0.511315514024304
"AT3G23940" "DHAD" 34.1547479166667 5.31986217366985 "L" -0.141814 -0.053317 0.164283 0.5627 0.80885 0.46735 0.979213 0.998621 0.961423 "E" 0.298583965585041 0.278339903529677 0.082872601489964
"AT3G23980" "BLI" 5.44230816666667 1.06185446284453 "M" -0.00499228 -0.114315 0.0260918 0.9837 0.58245 0.89825 0.998621 0.981808 0.998621 "M" 0.032431960170611 0.0883435150712412 0.0213540503967636
"AT3G23990" "CPN60" 29.26659 10.068016463851 "M" -0.411713 -0.476627 -0.299564 0.1086 0.04185 0.1926 0.685801 0.473428 0.81222 "E" 0.424178863377145 0.369770267719113 0.404030670236254
"AT3G24000" "PCMP-H87" 1.25633586666667 0.207362401800303 "E" -0.309969 -0.249212 0.256405 0.38345 0.42815 0.3918 0.935908 0.95137 0.939127 "M" 0.148535753758478 0.193591876588987 0.180981082864305
"AT3G24010" "ING1" 10.1146122916667 1.40902570731797 "M" 0.0268309 0.217442 0.0841343 0.9154 0.33565 0.71805 0.998621 0.915509 0.996625 "M" 0.0389175184758745 0.251409212743591 0.112705723601793
"AT3G24020" "DIR16" 13.7355344583333 4.87842691683333 "E" -0.316318 -0.0354332 -0.251203 0.5146 0.9411 0.56845 0.971579 0.998621 0.979678 "L" 0.0398721578182859 0.000422176843531075 0.0408277885548499
"AT3G24030" "THIM" 15.8193643333333 5.04533795406153 "M" -0.00657984 -0.0381342 -0.0166846 0.98435 0.9015 0.95425 0.998621 0.998621 0.998621 "L" 0.000159617779455834 0.0074615419234233 0.00792064470541864
"AT3G24040" "AT3G24040" 32.2432395833333 10.3762183412688 "E" -0.308172 -0.00829915 -0.227771 0.19155 0.96855 0.2787 0.810841 0.998621 0.882136 "E" 0.147738067373568 0.00565933116223416 0.106324786991224
"AT3G24050" "GATA1" 48.871625 13.6418616575034 "M" -0.0254389 -0.170253 -0.062739 0.9158 0.43415 0.773 0.998621 0.952854 0.998621 "M" 0.0312837408561251 0.0514685633626513 0.0370330411711547
"AT3G24065" "AT3G24065" 0.557705583333333 0.453251527663464 "M" -0.408201 -2.92702 -1.92324 1 1 1 1 1 1 "M" 0.0537487042727652 0.593062517239854 0.528799692994088
"AT3G24070" "AT3G24070" 3.80747775 0.579141749773655 "M" -0.191977 -0.266595 -0.0471338 0.4964 0.2931 0.85295 0.967384 0.892926 0.998621 "M" 0.165058366414816 0.187853085333227 0.113362622203603
"AT3G24080" "AT3G24080" 22.8616129166667 5.03550463367224 "E" 0.194626 0.0625592 -0.0861084 0.43235 0.7756 0.69285 0.95242 0.998621 0.993722 "E" 0.142888491952795 0.129704797197407 0.0061380152886028
"AT3G24090" "AT3G24090" 1.33889915833333 0.452542863742205 "M" -0.205539 -0.701402 -0.237472 0.5525 0.02975 0.43745 0.977594 0.401967 0.953632 "M" 0.214956168756583 0.352272165582969 0.227430908238163
"AT3G24100" "AT3G24100" 240.557979166667 97.5174173319599 "E" -0.111605 0.101268 -0.0148675 0.67505 0.67815 0.9504 0.992659 0.992831 0.998621 "E" 0.0947848987510782 0.0497145889624663 0.00413564392175014
"AT3G24110" "CML22" 1.02642924583333 0.369522328351355 "L" 0.378656 -0.0102071 0.504071 0.44355 0.95195 0.2553 0.955474 0.998621 0.866487 "L" 0.019345739320899 0.0160818746496637 0.109896956923813
"AT3G24120" "AT3G24120" 10.757099625 1.67188399006486 "M" 0.0613939 0.126396 -0.049837 0.7952 0.547 0.8116 0.998621 0.977009 0.998621 "M" 0.0485230959882836 0.129986166972429 0.00557508821969177
"AT3G24140" "FAMA" 4.48818825 1.0928652342846 "L" -0.150823 -0.314986 -0.344298 0.591 0.2191 0.18065 0.983559 0.837277 0.800251 "L" 0.258866042747305 0.26720189180982 0.270151025850445
"AT3G24150" "AT3G24150" 1.71064900833333 0.424216894531295 "E" 0.702658 0.313327 0.151529 0.0737 0.38795 0.68575 0.598296 0.937738 0.993595 "E" 0.36016722916493 0.238493289509375 0.121572953856205
"AT3G24160" "PMP" 61.0811983333333 14.8091873734269 "E" -0.374676 0.196011 -0.0250381 0.1802 0.45525 0.92505 0.799541 0.958885 0.998621 "E" 0.184026642980553 0.0455679174824726 0.00883115422123548
"AT3G24170" "ATGR1" 41.59454625 9.62918336111491 "E" -0.386078 0.116602 -0.115246 0.17115 0.66525 0.6598 0.788425 0.991567 0.990365 "E" 0.116590040987437 0.0115919853830614 0.0103395285239485
"AT3G24180" "AT3G24180" 10.156644625 2.65484651456992 "E" -0.242608 -0.228146 -0.213911 0.3057 0.2858 0.31265 0.899717 0.887615 0.903138 "E" 0.349717927664824 0.249226460230802 0.348970631606131
"AT3G24190" "AT3G24190" 7.92606891666667 1.96408566181875 "M" -0.14729 -0.20396 -0.0963548 0.6632 0.51775 0.7605 0.99116 0.972282 0.998621 "E" 0.243265349721476 0.232845864181231 0.224866284474475
"AT3G24200" "AT3G24200" 11.4691084583333 3.05015107583775 "E" -0.271446 -0.221348 -0.185559 0.40505 0.445 0.52765 0.943542 0.955726 0.973463 "E" 0.241927136956179 0.151420769900225 0.232536132494924
"AT3G24210" "AT3G24210" 0.651694766666667 0.261067583771435 "E" -0.267623 0.177629 0.0507635 1 1 1 1 1 1 "E" 0.214619813262103 0.0733731746061737 0.0330756338938895
"AT3G24225" "CLE19" 0.3111793125 0.400813857015644 "M" 0.788201 1.66848 0.597438 1 1 1 1 1 1 "M" 0.0784100691264522 0.163779160032655 0.0692697515354209
"AT3G24230" "AT3G24230" 0.388993579166667 0.167863065260139 "L" 0.485944 0.180658 -1.84569 1 1 1 1 1 1 "L" 0.187384768722717 0.215628899326448 0.372444796300733
"AT3G24240" "RCH2" 1.04403445 0.486178442269143 "M" -0.0877891 -0.501023 -0.126827 0.76545 0.0741 0.63665 0.998621 0.599708 0.987466 "M" 0.140071652362238 0.294420087045512 0.152955619362081
"AT3G24255" "AT3G24255" 0.491611279166667 0.0938274122829505 "E" 0.871744 0.77172 0.551974 1 1 1 1 1 1 "E" 0.246421016480045 0.00147359435940875 0.0194392095251322
"AT3G24300" "AMT1-3" 7.86285870833333 2.97813443205899 "L" -0.249053 -0.64292 -0.952552 0.33895 0.00755 2e-04 0.916852 0.187254 0.0153863 "M" 0.0182992529663339 0.338284112846748 0.33744456175257
"AT3G24310" "MYB305" 0.123214647083333 0.102388312238581 "E" 1.23571 -0.559819 0.3536 1 1 1 1 1 1 "E" 0.322806840245067 0.000384216200746135 0.003650447458174
"AT3G24315" "AtSec20" 9.63027658333333 1.22201182646312 "E" -0.427006 -0.0994686 -0.198315 0.0957 0.65675 0.3754 0.65668 0.989973 0.933072 "E" 0.228236789296843 0.0493342783723567 0.161080496400383
"AT3G24320" "MSH1" 1.073618625 0.343432905289959 "M" 0.0799254 -0.213238 0.0678074 0.80215 0.4683 0.8133 0.998621 0.961534 0.998621 "M" 0.0493396207480814 0.14907850492493 0.0154702207482873
"AT3G24340" "CLSY4" 0.117366862083333 0.0567506073273868 "L" 0.0786611 -0.192601 0.460249 1 1 1 1 1 1 "L" 0.00785829380219427 0.0433040725472558 0.0961676175001839
"AT3G24350" "SYP32" 8.267785125 0.986380686154551 "L" 0.078606 0.00426025 -0.134319 0.73755 0.98485 0.5314 0.998184 0.998621 0.974161 "L" 0.0480953373339804 0.052017367045187 0.107430302887539
"AT3G24360" "AT3G24360" 0.4935324375 0.184248860617122 "E" 0.738226 -0.543321 0.592051 1 1 1 1 1 1 "E" 0.147025159420803 0.0601811130366752 0.0277824186103631
"AT3G24420" "AT3G24420" 1.195075025 0.512934338309806 "L" -0.232054 0.745352 0.954453 0.6359 0.0642 0.01625 0.987317 0.569218 0.290118 "M" 0.145535640598436 0.344440960508991 0.324864697250617
"AT3G24430" "HCF101" 22.0583929166667 3.97325748183208 "E" 0.55315 0.300055 0.374267 0.01855 0.14915 0.07305 0.312705 0.758553 0.596625 "E" 0.760629268590785 0.311237451354843 0.687543804201814
"AT3G24440" "VIL1" 4.84918966666667 1.10242187950911 "M" -0.0336784 -0.360448 -0.187994 0.88825 0.10375 0.39115 0.998621 0.675729 0.938974 "M" 0.0749785840502282 0.513133438110246 0.390733179279248
"AT3G24450" "AT3G24450" 3.17520570833333 1.34386037608582 "E" 0.316354 -0.206224 0.144367 0.47565 0.6251 0.7248 0.963347 0.986518 0.997235 "E" 0.0955077092737453 0.0221900025667713 0.000116798050145639
"AT3G24460" "AT3G24460" 0.557090858333333 0.140153231268692 "M" 0.144695 -0.409759 -0.277808 1 1 1 1 1 1 "M" 0.139312692203373 0.1964056732044 0.158465490639604
"AT3G24480" "LRX4" 0.844491595833333 0.557832604438664 "E" 0.851138 -0.0130066 -0.307721 0.03765 0.9699 0.4355 0.451754 0.998621 0.953078 "E" 0.36986058342017 0.142967531087621 0.115945997828095
"AT3G24490" "AT3G24490" 12.423465 2.6975622906662 "E" 0.26109 0.257025 0.202854 0.2592 0.213 0.3285 0.868666 0.831866 0.910597 "E" 0.229393776352258 0.205932687992135 0.210605913306412
"AT3G24495" "MSH7" 1.23496347083333 0.467594854750938 "M" 0.206635 -0.429663 -0.0942892 0.47845 0.1281 0.722 0.964124 0.724415 0.996795 "E" 0.194447539285282 0.187737427109228 0.0964774208931266
"AT3G24500" "MBF1C" 35.9756185416667 20.0231931977837 "E" -0.89813 -0.792223 -0.504467 0.51875 0.61335 0.70815 0.972282 0.985857 0.995491 "E" 0.773328148468501 0.569554289317049 0.696436624603164
"AT3G24503" "ALDH2C4" 122.85738625 60.2127208648445 "E" -0.399778 0.351958 -0.13454 0.2827 0.36995 0.7275 0.885481 0.930397 0.997329 "E" 0.045971763847972 0.0353683297192833 0.00216209203340612
"AT3G24506" "AT3G24506" 40.7231558333333 15.3602493258254 "M" 0.27333 0.469763 0.324952 0.2555 0.0296 0.1328 0.866788 0.400986 0.732933 "M" 0.215411664439794 0.284568887935434 0.228831374183842
"AT3G24510" "AT3G24510" 0.0724312125 0.149465527430739 "L" Inf Inf Inf 1 1 1 1 1 1 "L" 0.0120709740764654 0.0295939260794492 0.210207982241367
"AT3G24515" "UBC37" 1.93116654166667 0.285457740862542 "M" 0.37514 0.405347 0.207769 0.26655 0.1822 0.5016 0.872467 0.801186 0.9689 "M" 0.308070799928158 0.325265026641853 0.23492647052148
"AT3G24518" "AT3G24518" 9.03359125 1.3696071047054 "L" -0.168024 -0.402734 -0.604741 0.61995 0.20155 0.06385 0.986366 0.821031 0.568412 "L" 0.0202137215428453 0.419105844389513 0.420524240314689
"AT3G24520" "HSFC1" 2.80142304166667 1.13260690872404 "M" -0.288397 -0.72677 -0.411698 0.5007 0.0987 0.29765 0.968709 0.664769 0.895428 "M" 0.33643470449653 0.433284325566183 0.366688204432465
"AT3G24530" "AT3G24530" 8.945348 0.948441266320326 "M" -0.0152062 -0.0505994 -0.00969842 0.94835 0.80835 0.96435 0.998621 0.998621 0.998621 "L" 0.0110226407953983 0.0106885121318662 0.0111269272451493
"AT3G24535" "AT3G24535" 3.87618529166667 1.62377770134575 "M" 0.138858 -0.198201 -0.0637658 0.77555 0.67505 0.8727 0.998621 0.992659 0.998621 "E" 0.015543533837337 0.0112570621307365 0.00757065719609673
"AT3G24550" "PERK1" 24.1459833333333 4.48088928092324 "M" -0.0108185 0.225768 -0.0373254 0.9637 0.30665 0.86505 0.998621 0.900075 0.998621 "M" 0.0482045218352383 0.276622056839111 0.0286070841237285
"AT3G24560" "RSY3" 2.136755 0.524232556933508 "M" 0.16651 0.346289 0.131002 0.78275 0.52295 0.8099 0.998621 0.97284 0.998621 "M" 0.177547675798308 0.324440248767585 0.157891835038269
"AT3G24570" "AT3G24570" 20.8432270833333 2.5755646749613 "M" 0.118936 0.127836 0.0589695 0.62725 0.5611 0.78785 0.986531 0.979213 0.998621 "M" 0.221259900331922 0.279821804870604 0.145613338019779
"AT3G24590" "PLSP1" 37.92664 10.2246022940285 "M" 0.13574 0.370398 0.210273 0.5663 0.0824 0.3246 0.979362 0.622749 0.909661 "M" 0.168543952608814 0.297242455754553 0.193002698832267
"AT3G24630" "AT3G24630" 0.427837291666667 0.132181980613698 "L" 0.192475 0.221588 0.358259 1 1 1 1 1 1 "L" 0.000144693208823043 0.129496192173467 0.134344970382474
"AT3G24660" "TMKL1" 2.501906125 0.406128832347282 "E" 0.519501 0.387655 0.515163 0.2096 0.30105 0.14375 0.828497 0.896954 0.750637 "E" 0.405014271573709 0.27471584662976 0.403196501610798
"AT3G24670" "AT3G24670" 9.15197875 2.41440410866052 "M" 0.121362 -0.26758 -0.15683 0.6827 0.32665 0.5501 0.993376 0.910153 0.977324 "M" 0.182831013876455 0.220112836650959 0.170240390548975
"AT3G24715" "AT3G24715" 0.250489514583333 0.104012937481072 "E" -0.602724 -0.0652526 0.197406 1 1 1 1 1 1 "E" 0.307492419049102 0.166552942112089 0.140235853559387
"AT3G24730" "AT3G24730" 26.0865879166667 6.43286723687372 "M" 0.194394 0.371952 0.197383 0.41675 0.07995 0.35715 0.948321 0.616069 0.923925 "M" 0.291626080341889 0.459609221960003 0.291673233520422
"AT3G24740" "AT3G24740" 4.42882345833333 0.917353272099306 "L" -0.0383979 -0.0363431 0.114281 0.88605 0.88315 0.6359 0.998621 0.998621 0.987317 "L" 0.0188278338662137 0.0240539142515539 0.0340121902152943
"AT3G24750" "AT3G24750" 0.56631121125 0.300695004053829 "E" 1.10053 -0.311725 0.574486 0.0519 1 1 0.522463 1 1 "E" 0.620903779690026 0.0167033031662736 0.11260477606341
"AT3G24760" "AT3G24760" 3.369429875 0.854979343234286 "M" 0.0510065 -0.125176 0.10735 0.85765 0.6175 0.66565 0.998621 0.986175 0.991694 "M" 0.00552518457339946 0.0450021106982854 6.05552721844038e-06
"AT3G24770" "CLE41" 14.0083435833333 2.88026255908433 "L" -0.0939033 -0.814579 -1.26374 0.6952 0.00045 5e-05 0.993753 0.0282141 0.00512634 "M" 0.825750699495949 0.925315908274763 0.897201509624741
"AT3G24780" "AT3G24780" 0.31683155 0.142766694969508 "M" -0.9702 -2.59644 -0.578194 1 1 1 1 1 1 "M" 0.229212690361252 0.306444861703083 0.203013733754592
"AT3G24800" "PRT1" 5.15394016666667 0.66261044081773 "M" -0.145265 -0.257227 0.0262115 0.5803 0.28755 0.91325 0.981171 0.889343 0.998621 "M" 0.198699822794943 0.309106925954563 0.0931802682585057
"AT3G24810" "KRP5" 2.466924375 0.744177207466528 "E" 0.566611 0.285019 0.326111 0.1771 0.4554 0.39795 0.795931 0.958953 0.941076 "E" 0.145195492300801 0.0720904898629211 0.115161423530752
"AT3G24820" "AT3G24820" 10.7587659166667 2.12072120425358 "M" -0.169486 -0.253969 0.0735896 0.51355 0.28425 0.749 0.971472 0.886786 0.998445 "M" 0.202131174177607 0.310948150772989 0.0548357436977511
"AT3G24830" "RPL13AB" 1429.938325 785.371076968964 "M" 0.303528 0.707814 0.167971 0.5572 0.15175 0.72625 0.978801 0.762542 0.997312 "M" 0.180806756109392 0.37706933732097 0.146085329859504
"AT3G24840" "SFH9" 1.45521252083333 0.293695879244066 "M" -0.393916 -0.596894 -0.0143405 0.2121 0.04095 0.9536 0.830903 0.468854 0.998621 "M" 0.294314450138565 0.413132160290853 0.149360089659988
"AT3G24860" "AT3G24860" 5.41772875 1.21281929312198 "E" 0.196465 0.0275953 0.0745967 0.5761 0.93785 0.83455 0.980235 0.998621 0.998621 "E" 0.0890531082361509 0.0279981799794312 0.0272889367686543
"AT3G24870" "EAF1B" 0.751498891666667 0.312823680436657 "E" 0.300613 -0.018159 0.143128 1 1 1 1 1 1 "M" 0.0175874876334254 0.0223588392691105 0.00302044050171035
"AT3G24880" "EAF1A" 0.546577625 0.269874874276579 "E" 0.310467 -0.0261823 0.066405 1 1 1 1 1 1 "M" 0.0438039178309571 0.085474852205376 0.0437055770974341
"AT3G24890" "ATVAMP728" 6.31269233333333 2.71908387463191 "L" 0.0281121 0.0968627 0.216655 0.9389 0.7655 0.5012 0.998621 0.998621 0.968851 "L" 0.0132863923357189 0.00247391892068571 0.0697398906521652
"AT3G24927" "AT3G24927" 3.72352375 1.0536818536208 "E" 0.411122 0.245568 0.200248 0.17255 0.3716 0.46765 0.790323 0.931363 0.961453 "E" 0.456345048593721 0.30630763888943 0.307960567308849
"AT3G24929" "AT3G24929" 0.561147683333333 0.33228237899681 "E" 0.602651 -0.552385 -0.475511 0.48325 1 1 0.964616 1 1 "E" 0.126187118183058 0.00962156807138581 0.0551293646777188
"AT3G24982" "ATRLP40" 0.282506407083333 0.135166964478664 "L" -0.38108 -0.695283 -1.29768 0.12565 0.0022 5e-05 0.719504 0.0856543 0.00512634 "L" 0.00785634432254512 0.567940429602294 0.580905649538415
"AT3G25010" "AtRLP41" 0.26992324125 0.120338857365721 "M" -0.655973 -1.24731 -1.11791 0.05735 3e-04 0.00155 0.54557 0.0207729 0.0673634 "L" 0.61861149165102 0.648825406932951 0.652456980806262
"AT3G25013" "AT3G25013" 0.739183158333333 0.345977966170447 "E" -1.38752 -0.0132058 -0.344716 1 1 1 1 1 1 "E" 0.151370796251206 0.0160280890657836 0.0400485959145656
"AT3G25014" "AT3G25014" 0.860420125 1.86752522839136 "L" -Inf -Inf -Inf 0.3264 0.24125 0.24065 0.909923 0.855978 0.855691 "E" 0.266666666455364 0.213954597006215 0.26665825674836
"AT3G25020" "AtRLP42" 0.6605174375 0.200481690618658 "M" -0.292023 -0.333489 -0.239261 0.4003 0.2776 0.43355 0.941591 0.880962 0.952751 "L" 0.291186123411301 0.253577033894257 0.292491567755118
"AT3G25030" "AT3G25030" 2.7080832375 0.61697207403383 "E" 0.702614 0.0772132 0.213093 0.0371 0.80935 0.48515 0.448669 0.998621 0.964916 "E" 0.427032111469642 0.102783932338655 0.0950785193028929
"AT3G25040" "ERD2B" 37.5331370833333 10.0542955738913 "M" 0.0722552 0.269221 0.202975 0.7646 0.2104 0.34915 0.998621 0.829258 0.920771 "M" 0.0901901309765731 0.147277160351313 0.11277083427859
"AT3G25060" "PCMP-E96" 0.275549690416667 0.12116446588478 "E" -0.260458 -0.226923 0.0905099 1 1 1 1 1 1 "M" 0.029742440752994 0.0360135022567849 0.00507185292357348
"AT3G25070" "RIN4" 18.1070208333333 3.38214123653218 "E" -0.150052 -0.0230299 0.0792418 0.51685 0.914 0.70055 0.97223 0.998621 0.99455 "E" 0.217661215131638 0.117859028663545 0.00739955814682269
"AT3G25100" "CDC45" 1.77777345833333 0.347769042293874 "M" 0.178547 -0.426156 -0.150741 0.5426 0.13025 0.582 0.975774 0.728057 0.981589 "M" 0.262459389638696 0.292769767591392 0.182012821622773
"AT3G25110" "FATA" 5.832205375 0.711356644729896 "L" 0.0209717 -0.0087512 0.0827324 0.9365 0.9751 0.72195 0.998621 0.998621 0.996795 "L" 0.00400382274279487 0.00883099135085519 0.0238474287922334
